series,t_seconds,rss_mb
mimalloc-pprof,0.0,278.090
mimalloc-pprof,0.1,71.027
mimalloc-pprof,0.2,71.027
mimalloc-pprof,0.3,71.027
mimalloc-pprof,0.4,71.027
mimalloc-pprof,0.5,71.027
mimalloc-pprof,0.6,71.027
mimalloc-pprof,0.7,71.027
mimalloc-pprof,0.8,71.027
mimalloc-pprof,0.9,71.027
mimalloc-pprof,1.0,71.027
mimalloc-pprof,1.1,71.027
mimalloc-pprof,1.2,71.027
mimalloc-pprof,1.3,71.027
mimalloc-pprof,1.4,71.027
mimalloc-pprof,1.5,71.027
mimalloc-pprof,1.6,71.027
mimalloc-pprof,1.7,71.027
mimalloc-pprof,1.8,71.027
mimalloc-pprof,1.9,71.027
mimalloc-pprof,2.0,71.027
mimalloc-pprof,2.1,71.027
mimalloc-pprof,2.2,71.027
mimalloc-pprof,2.3,71.027
mimalloc-pprof,2.4,71.027
mimalloc-pprof,2.5,71.027
mimalloc-pprof,2.6,71.027
mimalloc-pprof,2.7,71.027
mimalloc-pprof,2.8,71.027
mimalloc-pprof,2.9,71.027
mimalloc-pprof,3.0,71.027
mimalloc-pprof,3.1,71.027
mimalloc-pprof,3.2,71.027
mimalloc-pprof,3.3,71.027
mimalloc-pprof,3.4,71.027
mimalloc-pprof,3.5,71.027
mimalloc-pprof,3.6,71.027
mimalloc-pprof,3.7,71.027
mimalloc-pprof,3.8,71.027
mimalloc-pprof,3.9,71.027
mimalloc-pprof,4.0,71.027
mimalloc-pprof,4.1,71.027
mimalloc-pprof,4.2,71.027
mimalloc-pprof,4.3,71.027
mimalloc-pprof,4.4,71.027
mimalloc-pprof,4.5,71.027
mimalloc-pprof,4.6,71.027
mimalloc-pprof,4.7,71.027
mimalloc-pprof,4.8,71.027
mimalloc-pprof,4.9,71.027
mimalloc-pprof,5.0,71.027
mimalloc-pprof,5.1,71.027
mimalloc-pprof,5.2,71.027
mimalloc-pprof,5.3,71.027
mimalloc-pprof,5.4,71.027
mimalloc-pprof,5.5,71.027
mimalloc-pprof,5.6,71.027
mimalloc-pprof,5.7,71.027
mimalloc-pprof,5.8,71.027
mimalloc-pprof,5.9,71.027
mimalloc-pprof,6.0,71.027
mimalloc-pprof,6.1,71.027
mimalloc-pprof,6.2,71.027
mimalloc-pprof,6.3,71.027
mimalloc-pprof,6.4,71.027
mimalloc-pprof,6.5,71.027
mimalloc-pprof,6.6,71.027
mimalloc-pprof,6.7,71.027
mimalloc-pprof,6.8,71.027
mimalloc-pprof,6.9,71.027
mimalloc-pprof,7.0,71.027
mimalloc-pprof,7.1,71.027
mimalloc-pprof,7.2,71.027
mimalloc-pprof,7.3,71.027
mimalloc-pprof,7.4,71.027
mimalloc-pprof,7.5,71.027
mimalloc-pprof,7.6,71.027
mimalloc-pprof,7.7,71.027
mimalloc-pprof,7.8,71.027
mimalloc-pprof,7.9,71.027
mimalloc-pprof,8.0,71.027
mimalloc-pprof,8.1,71.027
mimalloc-pprof,8.2,71.027
mimalloc-pprof,8.3,71.027
mimalloc-pprof,8.4,71.027
mimalloc-pprof,8.5,71.027
mimalloc-pprof,8.6,71.027
mimalloc-pprof,8.7,71.027
mimalloc-pprof,8.8,71.027
mimalloc-pprof,8.9,71.027
mimalloc-pprof,9.0,71.027
mimalloc-pprof,9.1,71.027
mimalloc-pprof,9.2,71.027
mimalloc-pprof,9.3,71.027
mimalloc-pprof,9.4,71.027
mimalloc-pprof,9.5,71.027
mimalloc-pprof,9.6,71.027
mimalloc-pprof,9.7,71.027
mimalloc-pprof,9.8,71.027
mimalloc-pprof,9.9,71.027
mimalloc-pprof,10.0,71.027
jemalloc,0.0,281.789
jemalloc,0.1,281.852
jemalloc,0.2,281.852
jemalloc,0.3,281.852
jemalloc,0.4,281.852
jemalloc,0.5,281.852
jemalloc,0.6,281.852
jemalloc,0.7,281.852
