config,t_seconds,rss_mb
off,0.0,280.297
off,0.1,230.734
off,0.2,230.734
off,0.3,230.734
off,0.4,230.734
off,0.5,230.734
off,0.6,230.734
off,0.7,230.734
off,0.8,230.734
off,0.9,230.734
off,1.0,230.734
off,1.1,230.734
off,1.2,230.734
off,1.3,230.734
off,1.4,230.734
off,1.5,230.734
off,1.6,230.734
off,1.7,230.734
off,1.8,230.734
off,1.9,230.734
off,2.0,230.734
off,2.1,230.734
off,2.2,230.734
off,2.3,230.734
off,2.4,230.734
off,2.5,230.734
off,2.6,230.734
off,2.7,230.734
off,2.8,230.734
off,2.9,230.734
off,3.0,230.734
off,3.1,230.734
off,3.2,230.734
off,3.3,230.734
off,3.4,230.734
off,3.5,230.734
off,3.6,230.734
off,3.7,230.734
off,3.8,230.734
off,3.9,230.734
off,4.0,230.734
off,4.1,230.734
off,4.2,230.734
off,4.3,230.734
off,4.4,230.734
off,4.5,230.734
off,4.6,230.734
off,4.7,230.734
off,4.8,230.734
off,4.9,230.734
off,5.0,230.734
off,5.1,230.734
off,5.2,230.734
off,5.3,230.734
off,5.4,230.734
off,5.5,230.734
off,5.6,230.734
off,5.7,230.734
off,5.8,230.734
off,5.9,230.734
off,6.0,230.734
off,6.1,230.734
off,6.2,230.734
off,6.3,230.734
off,6.4,230.734
off,6.5,230.734
off,6.6,230.734
off,6.7,230.734
off,6.8,230.734
off,6.9,230.734
off,7.0,230.734
off,7.1,230.734
off,7.2,230.734
off,7.3,230.734
off,7.4,230.734
off,7.5,230.734
off,7.6,230.734
off,7.7,230.734
off,7.8,230.734
off,7.9,230.734
off,8.0,230.734
off,8.1,230.734
off,8.2,230.734
off,8.3,230.734
off,8.4,230.734
off,8.5,230.734
off,8.6,230.734
off,8.7,230.734
off,8.8,230.734
off,8.9,230.734
off,9.0,230.734
off,9.1,230.734
off,9.2,230.734
off,9.3,230.734
off,9.4,230.734
off,9.5,230.734
off,9.6,230.734
off,9.7,230.734
off,9.8,230.734
off,9.9,230.734
off,10.0,230.734
on,0.0,280.293
on,0.1,73.234
on,0.2,73.234
on,0.3,73.234
on,0.4,73.234
on,0.5,73.234
on,0.6,73.234
on,0.7,73.234
on,0.8,73.234
on,0.9,73.234
on,1.0,73.234
on,1.1,73.234
on,1.2,73.234
on,1.3,73.234
on,1.4,73.234
on,1.5,73.234
on,1.6,73.234
on,1.7,73.234
on,1.8,73.234
on,1.9,73.234
on,2.0,73.234
on,2.1,73.234
on,2.2,73.234
on,2.3,73.234
on,2.4,73.234
on,2.5,73.234
on,2.6,73.234
on,2.7,73.234
on,2.8,73.234
on,2.9,73.234
on,3.0,73.234
on,3.1,73.234
on,3.2,73.234
on,3.3,73.234
on,3.4,73.234
on,3.5,73.234
on,3.6,73.234
on,3.7,73.234
on,3.8,73.234
on,3.9,73.234
on,4.0,73.234
on,4.1,73.234
on,4.2,73.234
on,4.3,73.234
on,4.4,73.234
on,4.5,73.234
on,4.6,73.234
on,4.7,73.234
on,4.8,73.234
on,4.9,73.234
on,5.0,73.234
on,5.1,73.234
on,5.2,73.234
on,5.3,73.234
on,5.4,73.234
on,5.5,73.234
on,5.6,73.234
on,5.7,73.234
on,5.8,73.234
on,5.9,73.234
on,6.0,73.234
on,6.1,73.234
on,6.2,73.234
on,6.3,73.234
on,6.4,73.234
on,6.5,73.234
on,6.6,73.234
on,6.7,73.234
on,6.8,73.234
on,6.9,73.234
on,7.0,73.234
on,7.1,73.234
on,7.2,73.234
on,7.3,73.234
on,7.4,73.234
on,7.5,73.234
on,7.6,73.234
on,7.7,73.234
on,7.8,73.234
on,7.9,73.234
on,8.0,73.234
on,8.1,73.234
on,8.2,73.234
on,8.3,73.234
on,8.4,73.234
on,8.5,73.234
on,8.6,73.234
on,8.7,73.234
on,8.8,73.234
on,8.9,73.234
on,9.0,73.234
on,9.1,73.234
on,9.2,73.234
on,9.3,73.234
on,9.4,73.234
on,9.5,73.234
on,9.6,73.234
on,9.7,73.234
on,9.8,73.234
on,9.9,73.234
on,10.0,73.234
